symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2004-08-19 00:00:00+00:00,100.335,104.06,95.96,100.01,44659000,2.5161420896,2.6095554477,2.406428414,2.5079919308,1780845677,0.0,1.0
GOOGL,2004-08-20 00:00:00+00:00,108.31,109.08,100.5,101.01,22834300,2.7161344468,2.7354440537,2.5202798625,2.5330693424,910552508,0.0,1.0
GOOGL,2004-08-23 00:00:00+00:00,109.4,113.48,109.05,110.76,18256100,2.7434688254,2.8457846646,2.7346917314,2.7775741052,727989806,0.0,1.0
GOOGL,2004-08-24 00:00:00+00:00,104.87,111.6,103.57,111.24,15247300,2.629868151,2.7986391309,2.597267516,2.7896112627,608009321,0.0,1.0
GOOGL,2004-08-25 00:00:00+00:00,106.0,108.0,103.88,104.76,9188600,2.6582056261,2.7083604492,2.6050415136,2.6271096358,366409426,0.0,1.0
GOOGL,2004-08-26 00:00:00+00:00,107.91,107.95,104.66,104.95,7094800,2.7061034822,2.7071065787,2.6246018946,2.631874344,282915961,0.0,1.0
GOOGL,2004-08-27 00:00:00+00:00,106.15,108.62,105.69,108.1,6211700,2.6619672379,2.7239084444,2.6504316285,2.7108681904,247701003,0.0,1.0
GOOGL,2004-08-30 00:00:00+00:00,102.01,105.49,102.01,105.28,5196700,2.558146754,2.6454161462,2.558146754,2.6401498898,207226331,0.0,1.0
GOOGL,2004-08-31 00:00:00+00:00,102.37,103.71,102.16,102.32,4917800,2.5671746221,2.6007783536,2.5619083657,2.5659207515,196104768,0.0,1.0
GOOGL,2004-09-01 00:00:00+00:00,100.25,102.97,99.67,102.7,9138200,2.5140105096,2.5822210691,2.4994656109,2.5754501679,364399650,0.0,1.0
GOOGL,2004-09-02 00:00:00+00:00,101.51,102.37,98.94,99.09,15118600,2.5456080482,2.5671746221,2.4811591005,2.4849207122,602877213,0.0,1.0
GOOGL,2004-09-03 00:00:00+00:00,100.01,101.74,99.32,100.95,5152400,2.5079919308,2.5513758528,2.4906885168,2.5315646977,205459801,0.0,1.0
GOOGL,2004-09-07 00:00:00+00:00,101.58,102.0,99.61,101.01,5847500,2.547363467,2.5578959798,2.4979609662,2.5330693424,233177973,0.0,1.0
GOOGL,2004-09-08 00:00:00+00:00,102.3,103.03,100.5,100.74,4985600,2.5654192033,2.5837257138,2.5202798625,2.5262984413,198808397,0.0,1.0
GOOGL,2004-09-09 00:00:00+00:00,102.31,102.71,101.0,102.5,4061700,2.5656699774,2.5757009421,2.5328185683,2.5704346856,161966476,0.0,1.0
GOOGL,2004-09-10 00:00:00+00:00,105.33,106.56,101.3,101.47,8698800,2.6414037604,2.6722489766,2.5403417917,2.5446049517,346877905,0.0,1.0
GOOGL,2004-09-13 00:00:00+00:00,107.5,108.41,106.46,106.63,7844100,2.6958217435,2.718642188,2.6697412354,2.6740043954,312795440,0.0,1.0
GOOGL,2004-09-14 00:00:00+00:00,111.49,112.0,106.79,107.44,10828900,2.7958806156,2.8086700955,2.6780167813,2.6943170988,431818888,0.0,1.0
GOOGL,2004-09-15 00:00:00+00:00,112.0,114.23,110.2,110.56,10713000,2.8086700955,2.8645927233,2.7635307547,2.7725586229,427197199,0.0,1.0
GOOGL,2004-09-16 00:00:00+00:00,113.97,115.8,111.65,112.34,9266300,2.8580725963,2.9039642595,2.7998930015,2.8171964155,369507832,0.0,1.0
GOOGL,2004-09-17 00:00:00+00:00,117.49,117.49,113.55,114.42,9472500,2.946345085,2.946345085,2.8475400834,2.8693574315,377730371,0.0,1.0
GOOGL,2004-09-20 00:00:00+00:00,119.36,121.6,116.77,116.95,10628700,2.9932398447,3.0494132466,2.9282893487,2.9328032828,423835608,0.0,1.0
GOOGL,2004-09-21 00:00:00+00:00,117.84,120.42,117.51,120.2,7228700,2.9551221791,3.0198219009,2.9468466333,3.0143048704,288255427,0.0,1.0
GOOGL,2004-09-22 00:00:00+00:00,118.38,119.67,116.81,117.45,7581200,2.9686639813,3.0010138422,2.9292924452,2.9453419886,302311902,0.0,1.0
GOOGL,2004-09-23 00:00:00+00:00,120.82,122.63,117.02,118.84,8535600,3.0298528655,3.0752429805,2.9345587016,2.9801995906,340370056,0.0,1.0
GOOGL,2004-09-24 00:00:00+00:00,119.83,124.1,119.76,120.97,9123400,3.0050262281,3.1121067755,3.0032708093,3.0336144773,363809477,0.0,1.0
GOOGL,2004-09-27 00:00:00+00:00,118.26,120.88,117.8,119.56,7066100,2.9656546919,3.0313575102,2.9541190826,2.998255327,281771505,0.0,1.0
GOOGL,2004-09-28 00:00:00+00:00,126.86,127.4,120.21,121.15,16929000,3.1813204314,3.1948622337,3.0145556445,3.0381284114,675069671,0.0,1.0
GOOGL,2004-09-29 00:00:00+00:00,131.08,135.02,126.23,126.53,30516400,3.2871471082,3.3859521098,3.1655216621,3.1730448856,1216887951,0.0,1.0
GOOGL,2004-09-30 00:00:00+00:00,129.6,132.3,129.0,129.899,13758000,3.2500325391,3.3177415503,3.2349860922,3.2575306852,548621214,0.0,1.0
GOOGL,2004-10-01 00:00:00+00:00,132.58,134.24,128.9,130.8,15124800,3.3247632256,3.3663917288,3.232478351,3.280125433,603124447,0.0,1.0
GOOGL,2004-10-04 00:00:00+00:00,135.06,136.87,134.03,135.275,13022700,3.3869552063,3.4323453212,3.3611254723,3.3923468497,519300006,0.0,1.0
GOOGL,2004-10-05 00:00:00+00:00,138.37,138.53,132.24,134.66,14973200,3.4699614385,3.4739738244,3.3162369056,3.3769242416,597079166,0.0,1.0
GOOGL,2004-10-06 00:00:00+00:00,137.08,138.45,136.0,137.67,13381400,3.4376115776,3.4719676315,3.4105279731,3.4524072504,533603716,0.0,1.0
GOOGL,2004-10-07 00:00:00+00:00,138.85,139.88,136.55,136.56,14115000,3.4819985961,3.50782833,3.4243205495,3.4245713236,562857133,0.0,1.0
GOOGL,2004-10-08 00:00:00+00:00,137.73,139.68,137.02,138.73,11069500,3.4539118951,3.5028128477,3.4361069329,3.4789893067,441413180,0.0,1.0
GOOGL,2004-10-11 00:00:00+00:00,135.26,138.86,133.85,137.01,10472100,3.3919706886,3.4822493702,3.3566115383,3.4358561588,417590945,0.0,1.0
GOOGL,2004-10-12 00:00:00+00:00,137.4,137.61,133.4,134.49,11665500,3.4456363493,3.4509026058,3.3453267031,3.3726610817,465179588,0.0,1.0
GOOGL,2004-10-13 00:00:00+00:00,140.9,143.55,140.08,143.24,19766200,3.5334072898,3.5998624305,3.5128438123,3.5920884329,788207345,0.0,1.0
GOOGL,2004-10-14 00:00:00+00:00,142.0,142.38,138.56,141.02,10442100,3.5609924425,3.5705218589,3.4747261467,3.5364165792,416394649,0.0,1.0
GOOGL,2004-10-15 00:00:00+00:00,144.11,145.5,141.95,144.95,13194700,3.6139057809,3.648763383,3.559738572,3.6349708067,526158769,0.0,1.0
GOOGL,2004-10-18 00:00:00+00:00,149.16,149.2,141.21,143.12,14036300,3.7405467094,3.7415498058,3.5411812874,3.5890791435,559718851,0.0,1.0
GOOGL,2004-10-19 00:00:00+00:00,147.94,152.4,147.35,150.5,18109800,3.7099522672,3.8217975228,3.6951565944,3.7741504409,722155871,0.0,1.0
GOOGL,2004-10-20 00:00:00+00:00,140.49,148.99,139.6,147.94,22722600,3.5231255511,3.7362835494,3.5008066548,3.7099522672,906098300,0.0,1.0
GOOGL,2004-10-21 00:00:00+00:00,149.38,150.13,141.62,144.13,29149800,3.7460637399,3.7648717986,3.5514630261,3.6144073292,1162392694,0.0,1.0
GOOGL,2004-10-22 00:00:00+00:00,172.43,180.17,164.08,170.435,73710000,4.3240980765,4.518197242,4.1147016899,4.2740686404,2939298571,0.0,1.0
GOOGL,2004-10-25 00:00:00+00:00,187.4,194.43,172.55,176.28,65462800,4.6995069277,4.875801131,4.3271073659,4.4206461111,2610428904,0.0,1.0
GOOGL,2004-10-26 00:00:00+00:00,181.8,192.64,180.0,186.449,44569500,4.5590734229,4.8309125643,4.5139340821,4.6756583093,1777276728,0.0,1.0
GOOGL,2004-10-27 00:00:00+00:00,185.97,189.52,181.77,182.509,26686200,4.6636462291,4.7526710402,4.5583211006,4.5768533077,1064152890,0.0,1.0
GOOGL,2004-10-28 00:00:00+00:00,193.3,194.39,185.6,186.63,29663900,4.8474636559,4.8747980345,4.6543675869,4.6801973208,1182893215,0.0,1.0
GOOGL,2004-10-29 00:00:00+00:00,190.64,199.95,190.6,198.87,42282600,4.7807577412,5.0142284428,4.7797546447,4.9871448384,1686083106,0.0,1.0
GOOGL,2004-11-01 00:00:00+00:00,196.03,197.67,191.27,193.5,24425300,4.9159249895,4.9570519445,4.7965565104,4.8524791382,973996057,0.0,1.0
GOOGL,2004-11-02 00:00:00+00:00,194.87,199.25,193.34,198.73,22669900,4.8868351921,4.9966742547,4.8484667524,4.9836340007,903996807,0.0,1.0
GOOGL,2004-11-03 00:00:00+00:00,191.67,201.6,190.75,198.19,27749600,4.8065874751,5.0556061719,4.7835162564,4.9700921985,1106557585,0.0,1.0
GOOGL,2004-11-04 00:00:00+00:00,184.7,190.4,183.35,188.25,28790300,4.6317979164,4.7747391624,4.5979434108,4.7208227275,1148057084,0.0,1.0
GOOGL,2004-11-05 00:00:00+00:00,169.35,182.3,168.55,182.0,39626500,4.2468596489,4.5716121287,4.2267977196,4.5640889052,1580167071,0.0,1.0
GOOGL,2004-11-08 00:00:00+00:00,172.55,175.44,169.4,170.86,22361200,4.3271073659,4.3995810853,4.2481135195,4.2847265404,891686924,0.0,1.0
GOOGL,2004-11-09 00:00:00+00:00,168.7,175.2,165.27,174.1,22106200,4.2305593314,4.3935625066,4.1445438097,4.3659773538,881518411,0.0,1.0
GOOGL,2004-11-10 00:00:00+00:00,167.86,172.52,166.33,170.67,21266700,4.2094943057,4.3263550436,4.171125866,4.2799618322,848042069,0.0,1.0
GOOGL,2004-11-11 00:00:00+00:00,183.02,183.75,167.57,169.32,29941000,4.589667865,4.6079743755,4.2022218563,4.2461073265,1193943000,0.0,1.0
GOOGL,2004-11-12 00:00:00+00:00,182.0,189.8,177.4,185.23,33458700,4.5640889052,4.7596927154,4.448732812,4.6450889446,1334216647,0.0,1.0
GOOGL,2004-11-15 00:00:00+00:00,184.87,188.32,178.75,180.45,23779100,4.6360610764,4.7225781463,4.4825873176,4.5252189173,948227847,0.0,1.0
GOOGL,2004-11-16 00:00:00+00:00,172.545,179.47,170.83,174.39,41792900,4.3269819788,4.500643054,4.283974218,4.3732498032,1666555572,0.0,1.0
GOOGL,2004-11-17 00:00:00+00:00,172.5,177.5,169.0,169.02,36229500,4.3258534953,4.4512405532,4.2380825548,4.2385841031,1444706520,0.0,1.0
GOOGL,2004-11-18 00:00:00+00:00,167.54,174.42,165.73,170.4,33225900,4.201469534,4.3740021255,4.156079419,4.273190931,1324933393,0.0,1.0
GOOGL,2004-11-19 00:00:00+00:00,169.4,169.98,166.52,169.06,17521000,4.2481135195,4.2626584182,4.1758905742,4.2395871995,698676574,0.0,1.0
GOOGL,2004-11-22 00:00:00+00:00,165.1,169.5,161.31,168.6,24711600,4.1402806497,4.2506212606,4.0452372599,4.2280515902,985412706,0.0,1.0
GOOGL,2004-11-23 00:00:00+00:00,167.52,170.83,166.5,167.915,24801700,4.2009679857,4.283974218,4.1753890259,4.2108735633,989005581,0.0,1.0
GOOGL,2004-11-24 00:00:00+00:00,174.76,177.21,172.51,174.84,30531400,4.3825284455,4.4439681038,4.3261042694,4.3845346384,1217486099,0.0,1.0
GOOGL,2004-11-26 00:00:00+00:00,179.39,180.03,175.32,175.8,12947200,4.498636861,4.5146864044,4.3965717959,4.4086089535,516289329,0.0,1.0
GOOGL,2004-11-29 00:00:00+00:00,181.05,182.95,177.51,180.255,21311800,4.5402653642,4.5879124462,4.4514913273,4.520328822,849840500,0.0,1.0
GOOGL,2004-11-30 00:00:00+00:00,181.98,183.0,180.25,180.7,15384600,4.563587357,4.5891663168,4.520203435,4.5314882702,613484368,0.0,1.0
GOOGL,2004-12-01 00:00:00+00:00,179.96,182.5,179.55,181.77,15712400,4.5129309856,4.576627611,4.5026492469,4.5583211006,626555893,0.0,1.0
GOOGL,2004-12-02 00:00:00+00:00,179.4,181.51,178.55,179.9,12509200,4.4988876351,4.5518009735,4.4775718353,4.5114263409,498823411,0.0,1.0
GOOGL,2004-12-03 00:00:00+00:00,180.4,181.06,177.6,180.0,11726600,4.5239650467,4.5405161383,4.4537482943,4.5139340821,467616044,0.0,1.0
GOOGL,2004-12-06 00:00:00+00:00,176.29,180.7,176.02,179.13,12495400,4.4208968852,4.5314882702,4.414125984,4.492116734,498273115,0.0,1.0
GOOGL,2004-12-07 00:00:00+00:00,171.43,176.2,170.55,176.0,13728000,4.299020665,4.4186399181,4.2769525428,4.4136244358,547424919,0.0,1.0
GOOGL,2004-12-08 00:00:00+00:00,169.98,173.68,168.73,170.57,15068500,4.2626584182,4.355444841,4.2313116537,4.277454091,600879399,0.0,1.0
GOOGL,2004-12-09 00:00:00+00:00,173.43,173.5,168.47,170.25,15292600,4.3491754881,4.3509309069,4.2247915267,4.2694293193,609815728,0.0,1.0
GOOGL,2004-12-10 00:00:00+00:00,171.65,174.88,171.29,173.43,8625700,4.3045376955,4.3855377349,4.2955098273,4.3491754881,343962931,0.0,1.0
GOOGL,2004-12-13 00:00:00+00:00,170.45,173.18,169.45,172.03,9627500,4.2744448016,4.3429061352,4.24936739,4.3140671119,383911233,0.0,1.0
GOOGL,2004-12-14 00:00:00+00:00,178.69,178.82,169.6,171.0,22154600,4.4810826729,4.4843427364,4.2531290018,4.288237378,883448434,0.0,1.0
GOOGL,2004-12-15 00:00:00+00:00,179.78,180.69,176.66,177.99,22919000,4.5084170515,4.5312374961,4.4301755274,4.4635284848,913930049,0.0,1.0
GOOGL,2004-12-16 00:00:00+00:00,176.47,180.49,175.95,177.22,17128400,4.4254108193,4.5262220137,4.4123705652,4.4442188779,683021050,0.0,1.0
GOOGL,2004-12-17 00:00:00+00:00,180.08,180.5,176.55,176.76,14757600,4.515940275,4.5264727879,4.4274170122,4.4326832686,588481788,0.0,1.0
GOOGL,2004-12-20 00:00:00+00:00,185.02,188.46,181.87,182.0,19649300,4.6398226881,4.7260889839,4.5608288417,4.5640889052,783545779,0.0,1.0
GOOGL,2004-12-21 00:00:00+00:00,183.75,187.88,183.4,186.28,11021500,4.6079743755,4.7115440852,4.5991972814,4.6714202267,439499107,0.0,1.0
GOOGL,2004-12-22 00:00:00+00:00,186.3,186.85,183.01,183.9,7806100,4.671921775,4.6857143513,4.5894170909,4.6117359872,311280132,0.0,1.0
GOOGL,2004-12-23 00:00:00+00:00,187.9,188.6,186.0,187.45,7221900,4.7120456335,4.7295998216,4.6643985515,4.7007607983,287984267,0.0,1.0
GOOGL,2004-12-27 00:00:00+00:00,191.91,193.3,189.1,189.43,12195900,4.8126060538,4.8474636559,4.7421385273,4.7504140732,486330097,0.0,1.0
GOOGL,2004-12-28 00:00:00+00:00,192.76,193.55,191.01,192.11,8283300,4.8339218537,4.8537330088,4.7900363834,4.8176215362,330309209,0.0,1.0
GOOGL,2004-12-29 00:00:00+00:00,192.9,193.52,191.78,191.97,5350800,4.8374326913,4.8529806865,4.8093459903,4.8141106985,213371303,0.0,1.0
GOOGL,2004-12-30 00:00:00+00:00,197.6,198.23,191.85,192.97,11796700,4.9552965257,4.971095295,4.8111014092,4.8391881101,470411388,0.0,1.0
GOOGL,2004-12-31 00:00:00+00:00,192.79,199.88,192.56,199.23,15321600,4.834674176,5.012473024,4.8289063714,4.9961727065,610972147,0.0,1.0
GOOGL,2005-01-03 00:00:00+00:00,202.71,203.64,195.46,197.4,31656700,5.0834420988,5.1067640915,4.9016308649,4.9502810433,1262359151,0.0,1.0
GOOGL,2005-01-04 00:00:00+00:00,194.5,202.93,193.48,201.33,27484200,4.8775565498,5.0889591293,4.85197759,5.0488352708,1095974356,0.0,1.0
GOOGL,2005-01-05 00:00:00+00:00,193.51,196.9,192.23,193.45,16456700,4.8527299124,4.9377423376,4.8206308255,4.8512252677,656235989,0.0,1.0
GOOGL,2005-01-06 00:00:00+00:00,188.55,195.9,187.72,195.25,20753400,4.728345951,4.912664926,4.7075316994,4.8963646085,827573449,0.0,1.0
GOOGL,2005-01-07 00:00:00+00:00,193.85,194.25,188.78,190.64,19306400,4.8612562323,4.8712871969,4.7341137556,4.7807577412,769872119,0.0,1.0
GOOGL,2005-01-10 00:00:00+00:00,195.06,198.1,191.83,194.5,15064100,4.8915999003,4.9678352314,4.8105998609,4.8775565498,600703942,0.0,1.0
